Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms,PDB Structures,n_structures
CEP89,centrosomal protein 89kDa,84902.0,19:32875925-32971963,2,,19q13.11,yes,,Spitzoid tumour,,,E,Dom,fusion,T,BRAF,,,"CCDC123,CCDS32987.1,ENSG00000121289.17,FLJ14640,NM_032816.4,NP_116205,Q96ST8",,0
CHCHD7,coiled-coil-helix-coiled-coil-helix domain containing 7,79145.0,8:56211756-56218615,1,,8q12.1,yes,,salivary adenoma,,,E,Dom,fusion,T,PLAG1,,,"CCDS34895.1,COX23,ENSG00000170791.17,MGC2217,NM_001011668.2,NP_001011668,Q9BUK0",['2LQT'],1
CHD2,chromodomain helicase DNA binding protein 2,1106.0,15:92900320-93028005,2,,15q26.1,yes,,"melanoma, large intestine, CLL, monoclonal B lymphocytosis",,,"E, L",,TSG,"Mis, F, N",,,,"CCDS10374.2,DKFZp547I1315,DKFZp686E01200,DKFZp781D1727,ENSG00000173575.20,FLJ38614,NM_001271.3,NP_001262,O14647",,0
CHD4,chromodomain helicase DNA binding protein 4,1108.0,12:6570088-6607476,1,Yes,12p13.31,yes,,uterine serous carcinoma,,,E,Dom,oncogene,"Mis, F, N",,,,"CCDS8552.1,ENSG00000111642.15,Mi-2b,Mi2-BETA,NM_001273.3,NP_001264","['1MM2', '1MM3', '2EE1', '2L5U', '2L75', '2N5N', '4O9I', '6BGG', '6Q3M', '6RYR', '6RYU', '8D4Y']",12
CHEK2,CHK2 checkpoint homolog (S. pombe),11200.0,22:28687763-28741838,1,Yes,22q12.1,,yes,,breast,familial breast cancer,E,Rec,TSG,F,,,,"CCDS33629.1,CDS1,CHK2,ENSG00000183765.20,HuCds1,NM_001005735.1,NP_001005735,O96017,PP1425,RAD53,bA444G7","['1GXC', '2CN5', '2CN8', '2W0J', '2W7X', '2WTC', '2WTD', '2WTI', '2WTJ', '2XBJ', '2XK9', '2XM8', '2XM9', '2YCF', '2YCQ', '2YCR', '2YCS', '2YIQ', '2YIR', '2YIT', '3I6U', '3I6W', '3VA4', '4A9R', '4A9S', '4A9T', '4A9U', '4BDA', '4BDB', '4BDC', '4BDD', '4BDE', '4BDF', '4BDG', '4BDH', '4BDI', '4BDJ', '4BDK']",38
CHIC2,cysteine-rich hydrophobic domain 2,26511.0,4:54009789-54064690,2,,4q12,yes,,AML,,,L,Dom,fusion,T,ETV6,,,"BTL,CCDS3493.1,ENSG00000109220.10,NM_012110.3,NP_036242,Q9UKJ5",,0
CHST11,carbohydrate sulfotransferase 11,50515.0,12:104456973-104762014,2,,12q23.3,yes,,B-CLL,,,L,,"oncogene, fusion",T,,,,"C4ST,C4ST1,C4St-1,CCDS9099.1,ENSG00000171310.10,HSA269537,NM_018413.5,NP_060883,Q9NPF2",,0
CIC,capicua homolog,23152.0,19:42284665-42295797,1,Yes,19q13.2,yes,,"oligodendroglioma, soft tissue sarcoma",,,"O, M",Rec,"oncogene, TSG, fusion","Mis, F, S,T","DUX4L1, FOXO4",,,"CCDS12601.1,ENSG00000079432.7,KIAA0306,NM_015125.4,NP_055940,Q96RK0","['2M41', '4J2J', '4J2L', '6JRP', '6KZG', '6KZH']",6
CIITA,"class II, major histocompatibility complex, transactivator",4261.0,16:10877198-10924983,1,Yes,16p13.13,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,"TSG, fusion",T,"C15orf55, CD274, PDCD1LG2, RALGDS, RUNDC2A, RMI2, BCL6",,,"C2TA,CCDS73826.1,ENSG00000179583.19,MHC2TA,NLRA,NM_001286402.1,NP_001273331",,0
CLIP1,CAP-GLY domain containing linker protein 1,6249.0,12:122271434-122422569,1,Yes,12q24.31,yes,,Spitzoid tumour,,,E,Dom,fusion,T,ROS1,,,"CCDS58285.1,CLIP,CLIP-170,CLIP170,CYLN1,ENSG00000130779.19,NM_001247997.1,NP_001234926,P30622,RSN","['2CP5', '2CP6', '2E3H', '2E3I', '2E4H', '2HQH', '2QK0', '3E2U', '3RDV']",9
CLP1,cleavage and polyadenylation factor I subunit 1,10978.0,11:57657158-57661868,2,,11q12.1,yes,,AML,,,L,Dom,fusion,T,KMT2A,,,"CCDS7964.1,ENSG00000172409.5,HEAB,Q92989,hClp1","['8HMY', '8HMZ']",2
CLTC,"clathrin, heavy polypeptide (Hc)",1213.0,17:59619689-59696956,1,Yes,17q23.1,yes,,"ALCL, renal",,,L,Dom,"TSG, fusion",T,"ALK, TFE3",,,"CCDS74115.1,CLTCL2,ENSG00000141367.11,Hc,NM_001288653.1,NP_001275582","['2XZG', '4G55', '6E4L', '6QNN', '6QNP', '7BN1', '7BN2', '7ZX4']",8
CLTCL1,"clathrin, heavy polypeptide-like 1",8218.0,22:19179473-19291714,1,Yes,22q11.21,yes,,ALCL,,,L,Dom,"TSG, fusion",T,?,,,"CCDS46662.2,CHC22,CLH22,CLTCL,CLTD,ENSG00000070371.15,NM_007098.3,NP_009029,P53675",,0
CNBD1,cyclic nucleotide binding domain containing 1,168975.0,8:86866445-87382859,2,,8q21.3,yes,,"gastric cancer, colon cancer",,,E,,,Mis,,,,"CCDS55259.1,ENSG00000176571.11,FLJ35802,NM_173538.2,NP_775809,Q8NA66",,0
CNBP,"CCHC-type zinc finger, nucleic acid binding protein",7555.0,3:129170102-129183910,1,Yes,3q21.3,yes,,aneurysmal bone cyst,,,M,Dom,"TSG, fusion",T,USP6,,,"CCDS46906.1,CNBP1,DM2,ENSG00000169714.16,NM_001127192.1,NP_001120664,P62633,RNF163,ZCCHC22,ZNF9",,0
CNOT3,CCR4-NOT transcription complex subunit 3,4849.0,19:54141396-54155680,1,Yes,19q13.42,yes,,T-ALL,,,L,Rec,TSG,"Mis, N, F",,,,"CCDS12880.1,ENSG00000088038.18,KIAA0691,LENG2,NOT3,NOT3H,O75175","['4C0D', '4C0G', '5FU6', '5FU7']",4
CNTNAP2,contactin associated protein like 2,26047.0,7:146116359-148420998,2,,7q36.1,yes,,"glioma, melanoma",,,"E, O",,TSG,Mis,,,,"CCDS5889.1,Caspr2,ENSG00000174469.20,KIAA0868,NM_014141.5,NP_054860,NRXN4,Q9UHC6",['5Y4M'],1
CNTRL,centriolin,11064.0,9:121075012-121177608,1,,9q33.2,yes,,"MPN, NHL",,,L,Dom,fusion,T,FGFR1,,,"CCDS35118.1,CEP1,CEP110,ENSG00000119397.16,Q7Z7A1",,0
COL1A1,"collagen, type I, alpha 1",1277.0,17:50183289-50201632,1,,17q21.33,yes,,"DFSP, aneurysmal bone cyst",,,M,Dom,fusion,T,"PDGFB, USP6",yes,Osteogenesis imperfecta,"CCDS11561.1,ENSG00000108821.13,NP_000079.2,OI4,P02452","['1Q7D', '2LLP', '3EJH', '3GXE', '5CTD', '5CTI', '5CVA', '5CVB', '5K31', '5OU8', '5OU9', '7E7B', '7E7D']",13
COL2A1,"collagen, type II, alpha 1",1280.0,12:47972965-48004486,1,Yes,12q13.11,yes,,"chondrosarcoma, enchondroma",,,"L, E, M",Rec,fusion,"F, Mis, N, T",,yes,"Spondyloepiphyseal Dysplasia Congenita, Achondrogenesis Type II, Stickler Syndrome, Type I and others","AOM,CCDS41778.1,ENSG00000139219.18,NM_001844.4,NP_001835,P02458,SEDC,STL1","['1U5M', '2FSE', '2SEB', '5NIR', '5OCX', '5OCY', '6BIN', '6HG7', '6NIX', '7NZE']",10
COL3A1,collagen type III alpha 1 chain,1281.0,2:188974320-189012746,2,,2q32.2,yes,,lipoblastoma,,,E,,fusion,T,PLAG1,,,"CCDS2297.1,EDS4A,ENSG00000168542.14,NM_000090.3,NP_000081,NP_000081.1,P02461","['2V53', '3DMW', '4AE2', '4AEJ', '4AK3', '4GYX', '6FZV', '6FZW', '7WWR', '7WWS', '7XAN']",11
COX6C,cytochrome c oxidase subunit VIc,1345.0,8:99877866-99894062,2,,8q22.2,yes,,uterine leiomyoma,,,M,Dom,fusion,T,HMGA2,,,"CCDS6284.1,ENSG00000164919.10,NM_004374.3,NP_004365,P09669",['5Z62'],1
CPEB3,cytoplasmic polyadenylation element binding protein 3,22849.0,10:92048642-92243279,2,,10q23.32,yes,,lung cancer,,,E,,TSG,D,,,,"CCDS31246.1,ENSG00000107864.14,KIAA0940,Q8NE35","['2DNL', '2RUG', '7N2E', '7N2F', '7N2G']",5
CREB1,cAMP responsive element binding protein 1,1385.0,2:207529892-207603431,1,,2q33.3,yes,,"clear cell sarcoma, angiomatoid fibrous histiocytoma",,,M,Dom,"oncogene, fusion",T,EWSR1,,,"CCDS2375.1,ENSG00000118260.14,NM_134442.4,NP_604391,P16220","['2LXT', '5ZK1', '5ZKO', '7TBH']",4
CREB3L1,cAMP responsive element binding protein 3-like 1,90993.0,11:46277661-46321422,1,Yes,11p11.2,yes,,myxofibrosarcoma,,,M,Dom,"TSG, fusion",T,FUS,,,"CCDS53620.1,ENSG00000157613.10,NM_052854.3,NP_443086,OASIS,Q96BA8",,0
CREB3L2,cAMP responsive element binding protein 3-like 2,64764.0,7:137874979-138002057,1,Yes,7q33,yes,,fibromyxoid sarcoma,,,M,Dom,"oncogene, fusion",T,FUS,,,"BBF2H7,CCDS34760.1,ENSG00000182158.14,NM_194071.3,NP_919047,NP_001305175.1,Q70SY1,TCAG_1951439",,0
CREBBP,CREB binding protein (CBP),1387.0,16:3725054-3880726,1,Yes,16p13.3,yes,,"ALL, AML, DLBCL, B-NHL",,,L,Dom/Rec,"oncogene, TSG, fusion","T, N, F, Mis, O","KMT2A, MORF, KAT6A",yes,Rubinstein-Taybi syndrome,"CBP,CCDS10509.1,ENSG00000005339.14,KAT3A,NM_004380.2,NP_004371,Q92793,RSTS,RTS","['1JSP', '1LIQ', '1RDT', '1WO3', '1WO4', '1WO5', '1WO6', '1WO7', '1ZOQ', '2D82', '2KJE', '2KWF', '2L84', '2L85', '2LXS', '2LXT', '2N1A', '2RNY', '3DWY', '3P1C', '3P1D', '3P1E', '3P1F', '3SVH', '4A9K', '4N3W', '4N4F', '4NR4', '4NR5', '4NR6', '4NR7', '4NYV', '4NYW', '4NYX', '4OUF', '4TQN', '4TS8', '4WHU', '4YK0', '5CGP', '5DBM', '5EIC', '5ENG', '5EP7', '5GH9', '5H85', '5I83', '5I86', '5I89', '5I8B', '5I8G', '5J0D', '5JEM', '5KTU', '5KTW', '5KTX', '5LPJ', '5LPL', '5MME', '5MMG', '5MPK', '5MPN', '5MPZ', '5MQE', '5MQG', '5MQK', '5NLK', '5NRW', '5NU3', '5OWK', '5SVH', '5TB6', '5W0E', '5W0F', '5W0L', '5W0Q', '5XXH', '6ALB', '6ALC', '6AXQ', '6AY3', '6AY5', '6DMK', '6ES5', '6ES6', '6ES7', '6FQO', '6FQT', '6FQU', '6FR0', '6FRF', '6LQX', '6M64', '6QST', '6SQE', '6SQF', '6SQM', '6SXX', '6YIJ', '6YIK', '6YIL', '6YIM', '7CO1', '7EVJ', '7JFL', '7JFM', '7JUO', '7KPY', '7RLE', '7TB3', '7TBH', '7WX2', '7XH6', '7XHE', '7XI0', '7XIJ', '7XM7', '7XNE', '7XNG', '8HAL', '8HAM', '8HAN']",122
CRLF2,cytokine receptor-like factor 2,64109.0,X:1190490-1212750,1,Yes,Xp22.33,yes,,"B-ALL, Downs associated ALL",,,L,Dom,"oncogene, fusion","Mis, T","P2RY8, IGH",,,"CCDS75945.1,CRL2,ENSG00000205755.11,NM_022148.3,NP_071431,Q9HC73,TSLPR","['5J11', '5J12']",2
CRNKL1,crooked neck pre-mRNA splicing factor 1,51340.0,20:20034368-20056046,2,,20p11.23,yes,,base cell carcinoma,,,E,,,Mis,,,,"CCDS33446.1,CLF,CRN,Clf1,ENSG00000101343.14,NM_016652.5,NP_057736,Q9BZJ0,SYF3","['5MQF', '5XJC', '5YZG', '5Z56', '5Z57', '5Z58', '6FF4', '6FF7', '6ICZ', '6ID0', '6ID1', '6QDV', '6ZYM', '7A5P', '7ABI', '7DVQ', '7QTT', '7W59', '7W5A', '7W5B', '8C6J', '8CH6']",22
CRTC1,CREB regulated transcription coactivator 1,23373.0,19:18683678-18782333,1,Yes,19p13.11,yes,,salivary gland mucoepidermoid,,,E,Dom,"oncogene, fusion",T,MAML2,,,"CCDS42525.1,ENSG00000105662.15,FLJ14027,KIAA0616,MECT1,NM_001098482.1,NP_001091952,Q6UUV9,TORC1","['7D8H', '7D8P', '7D9V']",3
CRTC3,CREB regulated transcription coactivator 3,64784.0,15:90530068-90642813,1,,15q26.1,yes,,salivary gland mucoepidermoid,,,E,Dom,fusion,T,MAML2,,,"CCDS32331.1,ENSG00000140577.15,FLJ21868,NM_022769.4,NP_073606,Q6UUV7",,0
CSF1R,colony stimulating factor 1 receptor,1436.0,5:150053291-150113372,2,,5q32,yes,,"MDS, CML, AML, hemangioblastoma, CCRCC",,,"L, M, E",,oncogene,"Mis, N",,yes,diffuse leukoencephalopathy with spheroids,"C-FMS,CCDS4302.1,CD115,CSFR,ENSG00000182578.13,FMS,NM_005211.3,NP_001275634,NP_005202,NP_001336665.1,P07333","['2I0V', '2I0Y', '2I1M', '2OGV', '3BEA', '3DPK', '3KRJ', '3KRL', '3LCD', '3LCO', '4DKD', '4HW7', '4LIQ', '4R7H', '4R7I', '4WRL', '4WRM', '6IG8', '6N33', '6T2W', '6WXJ', '7MFC', '8CGC']",23
CSF3R,colony stimulating factor 3 receptor (granulocyte),1441.0,1:36466043-36483278,1,Yes,1p34.3,yes,,"aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS",,,L,Dom,oncogene,"Mis, N",,yes,"Kostmann syndrome, severe congenital neutropenia","CCDS414.1,CD114,ENSG00000119535.17,GCSFR,NM_156039.3,NP_724781,Q99062",['2D9Q'],1
CSMD3,CUB and Sushi multiple domains 3,114788.0,8:112222928-113437099,2,,8q23.3,yes,,"ovarian cancer, oral SCC, lung cancer",,,E,,TSG,"Mis, N",,,,"CCDS6315.1,ENSG00000164796.17,NM_198123.1,NP_937756,Q7Z407",,0
CTCF,CCCTC-binding factor,10664.0,16:67562467-67639176,1,Yes,16q22.1,yes,,"endometrial, breast, head and neck cancer",,,E,Dom,TSG,"Mis, N",,,"Mental retardation, autosomal dominant 21","CCDS10841.1,ENSG00000102974.15","['1X6H', '2CT1', '5K5H', '5K5I', '5K5J', '5K5L', '5KKQ', '5T00', '5T0U', '5UND', '5YEF', '5YEG', '5YEH', '5YEL', '6QNX', '7W1M', '8SSQ', '8SSR', '8SSS', '8SST', '8SSU']",21
CTNNA1,Catenin Alpha 1,1495.0,5:138753423-138935034,2,,5q31.2,yes,yes,"AML, MDS, cutaneous melanoma",gastric cancer,Hereditary Diffuse Gastric Cancer Syndrome,"E, L",,"TSG, fusion","D, Mis, N, T",RAF1,,,"CAP102,CCDS34243.1,ENSG00000044115.20,NM_001903.4,NP_001310912,NP_001310911,NP_001894,NP_001310913,NP_001277239.1,NP_001277238.1,NP_001310914.1,NP_001310915.1,P35221","['1H6G', '4EHP', '4IGG', '6UPV', '6V2O', '6V2P', '7UTJ']",7
CTNNA2,catenin alpha 2,1496.0,2:79651552-80648689,2,,2p12,yes,,gastric cancer,,,E,,oncogene,"Mis, S",,,,"CAP-R,CCDS62944.1,CT114,ENSG00000066032.18,NM_001282597.2,NP_001269526,P26232",['6DUW'],1
CTNNB1,"catenin (cadherin-associated protein), beta 1",1499.0,3:41220551-41239888,1,Yes,3p22.1,yes,,"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types",,,"E, M, O",Dom,"oncogene, fusion","Mis, O, T",PLAG1,,,"CCDS2694.1,CTNNB,ENSG00000168036.17,armadillo,beta-catenin","['1G3J', '1JDH', '1JPW', '1LUJ', '1P22', '1QZ7', '1T08', '1TH1', '2G57', '2GL7', '2Z6H', '3DIW', '3FQN', '3FQR', '3SL9', '3SLA', '3TX7', '4DJS', '6M90', '6M91', '6M92', '6M93', '6M94', '6O9B', '6O9C', '6WLX', '6WNX', '7AFW', '7AR4', '7UWI', '7UWO', '8EI9', '8EIA', '8EIB', '8EIC']",35
CTNND1,catenin delta 1,1500.0,11:57761797-57819178,2,,11q12.1,yes,,large intestine carcinoma,,,E,,,N,,,,"CCDS44604.1,CTNND,ENSG00000198561.13,KIAA0384,NM_001085458.1,NP_001078927,O60716,p120,p120cas,p120ctn","['3L6X', '3L6Y']",2
CTNND2,catenin delta 2,1501.0,5:10971840-11904043,2,,5p15.2,yes,,"prostae adenocarcinoma, GIST",,,E,,oncogene,Mis,,,,"CCDS3881.1,ENSG00000169862.18,GT24,NM_001332.3,NPRAP,NP_001323,Q9UQB3",,0
CUL3,cullin 3,8452.0,2:224470150-224585348,2,,2q36.2,yes,,lung cancer,,,E,,TSG,N,,,,"CCDS2462.1,ENSG00000036257.12,NM_003590.4,NP_003581,Q13618","['2MYL', '2MYM', '4AP2', '4APF', '4EOZ', '4HXI', '5NLB', '6I2M', '8GQ6', '8H33', '8H34', '8H35', '8H36', '8H37', '8H38', '8H3A', '8H3F', '8H3Q', '8H3R', '8I79', '8U80', '8U81', '8U82', '8U83', '8U84']",25
CUX1,cut-like homeobox 1,1523.0,7:101816011-102258233,1,Yes,7q22.1,yes,,"endometrial, melanoma, colorectal, AML, MDS, other tumour types",,,"E,L,M,O",Dom,"oncogene, TSG","N,F,S,Mis,O,T",CLDN7,,,"CASP,CCDS56498.1,CDP,CDP/Cut,CDP/Cux,CDP1,CUT,CUTL1,CUX,Clox,Cux/CDP,ENSG00000257923.10,GOLIM6,NM_001202543.1,NP_001189472,P39880",,0
CXCR4,C-X-C motif chemokine receptor 4,7852.0,2:136114349-136116243,1,Yes,2q22.1,yes,yes,WM,,,L,Dom,oncogene,"Mis, N, F",,,,"CCDS33295.1,CD184,D2S201E,ENSG00000121966.6,HM89,HSY3RR,LESTR,NM_001008540.1,NPY3R,NPYR,NPYY3R,NP_001008540,P61073,fusin","['2K03', '2K04', '2K05', '2N55', '3ODU', '3OE0', '3OE6', '3OE8', '3OE9', '4RWS', '8GP3', '8I0Q']",12
CYLD,familial cylindromatosis gene,1540.0,16:50742760-50801935,1,Yes,16q12.1,yes,yes,cylindroma,cylindroma,"familial cylindromatosis, familial trichoepithelioma, Brooke-Spiegler syndrome",E,Rec,TSG,"Mis, N, F, S",,,,"CCDS45482.1,CYLD1,ENSG00000083799.17,KIAA0849,Q9NQC7,USPL2","['1IXD', '1WHL', '1WHM', '2VHF', '7OWC', '7OWD']",6
CYP2C8,cytochrome P450 family 2 subfamily C member 8,1558.0,10:95036773-95069497,2,,10q23.33,yes,,melanoma,,,E,,,Mis,,,,"CCDS7438.1,CPC8,ENSG00000138115.13,NM_000770.3,NP_000761,P10632","['1PQ2', '2NNH', '2NNI', '2NNJ', '2VN0']",5
CYSLTR2,cysteinyl leukotriene receptor 2,57105.0,13:48706555-48711226,2,,13q14.2,yes,,uveal melanoma,,,E,,oncogene,Mis,,,,"CCDS9412.1,CYSLT2R,CysLT(2),ENSG00000152207.7,NM_001308471.1,NP_001295400,Q9NS75",,0
DAXX,death-domain associated protein,1616.0,6:33318558-33323014,1,Yes,6p21.32,yes,,"pancreatic neuroendocrine tumour, paediatric glioblastoma",,,E,Rec,"oncogene, TSG","Mis, F, N",,,,"CCDS4776.1,DAP6,ENSG00000204209.12,NM_001350.4,NP_001341,NP_001135441,NP_001135442.1,Q9UER7","['2KQS', '2KZS', '2KZU', '4H9N', '4H9O', '4H9P', '4H9Q', '4H9R', '4H9S', '4HGA', '5GRQ', '5KDM', '5Y18', '5Y6O']",14
DCAF12L2,DDB1 and CUL4 associated factor 12 like 2,340578.0,X:126163499-126166097,2,,Xq25,yes,,CRC,,,E,,,Mis,,,,"CCDS43991.1,ENSG00000198354.6,NM_001013628.2,NP_001013650,Q5VW00,WDR40C",,0
DCC,DCC netrin 1 receptor,1630.0,18:52340172-53535899,2,,18q21.2,yes,,"CRC, melanoma, SCC",,,E,,,"Mis, N, D",,,,"CCDS11952.1,ENSG00000187323.11,IGDCC1,NM_005215.3,NP_005206,NTN1R1,P43146","['2ED7', '2ED8', '2ED9', '2EDB', '2EDD', '2EDE', '3AU4', '4URT', '5X83']",9
DCTN1,dynactin 1,1639.0,2:74361154-74380355,1,Yes,2p13.1,yes,,"inflammatory myofibroblastic tumour, Spitzoid tumour",,,M,Dom,fusion,T,"ALK, ROS1",yes,"Distal hereditary motor neuronopathy, susceptibility to amyotrophic lateral sclerosis, Perry syndrome","CCDS1939.1,ENSG00000204843.12,NM_004082.4,NP_004073,Q14203","['1TXQ', '2COY', '2HKN', '2HKQ', '2HL3', '2HL5', '2HQH', '3E2U', '3TQ7']",9
DDB2,damage-specific DNA binding protein 2,1643.0,11:47214942-47239240,1,Yes,11p11.2,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (E),E,Rec,"oncogene, TSG","Mis, N",,,,"CCDS7927.1,DDBB,ENSG00000134574.11,FLJ34321,NM_000107.2,NP_000098,Q92466,UV-DDB2,XPE","['3EI4', '3I7L', '4E54', '4E5Z', '6R8Y', '6R8Z', '6R90', '6R91', '6R92']",9
DDIT3,DNA-damage-inducible transcript 3,1649.0,12:57516589-57520517,1,Yes,12q13.3,yes,,liposarcoma,,,M,Dom,"oncogene, fusion",T,"FUS, EWSR1",,,"CCDS55838.1,CHOP,CHOP10,ENSG00000175197.12,GADD153,NM_001195056.1,NP_001181985,NP_001181983,NP_001181982,NP_001181984,P35638",,0
DDR2,discoidin domain receptor 2,4921.0,1:162632465-162787400,1,Yes,1q23.3,yes,,"squamous cell carcinoma, NSCLC",,,E,Dom,oncogene,"Mis, N",,yes,"Spondylometaepiphyseal dysplasia, short limb-hand type","CCDS1241.1,ENSG00000162733.16,NM_001014796.1,NP_001014796,NP_001341912.1,NP_001341911.1,NTRKR3,Q16832,TKT,TYRO10","['2WUH', '2Z4F', '6FER', '7AZB']",4
DDX10,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,1662.0,11:108665025-108940930,1,Yes,11q22.3,yes,,AML*,,,L,Dom,"TSG, fusion",T,NUP98,,,"CCDS8342.1,Dbp4,ENSG00000178105.9,HRH-J8,NM_004398.3,NP_004389,Q13206",['2PL3'],1
DDX3X,"DEAD-box helicase 3, X-linked",1654.0,X:41333284-41351668,1,Yes,Xp11.4,yes,,"CLL, medulloblastoma",,,"L, O",,TSG,"Mis, N, F",,yes,"Mental retardation, X-linked 102","CCDS43931.1,DBX,DDX14,DDX3,ENSG00000215301.10,HLP2,NM_001356.4,NP_001347","['2I4I', '2JGN', '3JRV', '4O2C', '4O2E', '4O2F', '4PX9', '4PXA', '5E7I', '5E7J', '5E7M', '6CZ5', '6O5F', '7LIU']",14
DDX5,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5,1655.0,17:64499616-64506521,1,Yes,17q23.3,yes,,prostate,,,E,Dom,"oncogene, fusion",T,ETV4,,,"CCDS11659.1,ENSG00000108654.14,G17P1,HLR1,NM_004396.4,NP_001307525,NP_004387,NP_001307524,P17844,p68","['3FE2', '4A4D']",2
DDX6,DEAD (Asp-Glu-Ala-Asp) box polypeptide 6,1656.0,11:118747766-118790948,1,Yes,11q23.3,yes,,B-NHL,,,L,Dom,"oncogene, fusion",T,IGH,,,"CCDS44751.1,ENSG00000110367.11,HLR2,NM_001257191.2,NP_001244120,P26196,RCK","['1VEC', '2WAX', '2WAY', '4CRW', '4CT4', '4CT5', '5ANR', '6F9S', '6S8S']",9
DEK,DEK oncogene (DNA binding),7913.0,6:18223868-18264823,1,,6p22.3,yes,,AML,,,L,Dom,"oncogene, fusion",T,NUP214,,,"CCDS34344.1,D6S231E,ENSG00000124795.14,NM_003472.3,NP_003463,P35659","['1Q1V', '2JX3']",2
DGCR8,"DGCR8, microprocessor complex subunit",54487.0,22:20080232-20111871,2,,22q11.21,yes,,Wilms tumour,,,O,,oncogene,Mis,,,,"C22orf12,CCDS13773.1,DGCRK6,ENSG00000128191.15,Gy1,NM_022720.6,NP_073557,Q8WYQ5,pasha","['1X47', '2YT4', '3LE4', '5B16', '6LXD', '6LXE', '6V5B', '6V5C', '7CNC']",9
DICER1,"dicer 1, ribonuclease type III",23405.0,14:95086228-95158010,1,Yes,14q32.13,yes,yes,"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types",pleuropulmonary blastoma,familial pleuropulmonary blastoma or DICER1 syndrome,"E, M, O",Rec,TSG,"Mis, F, N",,,,"CCDS9931.1,Dicer,ENSG00000100697.14,HERNA,K12H4.8-LIKE,KIAA0928,MNG1,NM_030621.4,NP_001278557,NP_085124,Q9UPY3","['2EB1', '4NGB', '4NGC', '4NGD', '4NGF', '4NGG', '4NH3', '4NH5', '4NH6', '4NHA', '4WYQ', '5ZAK', '5ZAL', '5ZAM', '7XW2', '7XW3']",16
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,3337.0,19:14514770-14518420,1,,19p13.12,yes,,fibrolamellar hepatocellular carcinoma,,,E,Dom,fusion,T,PRKACA,,,"CCDS12312.1,ENSG00000132002.7,HSPF1,Hsp40,NM_006145.2,NP_006136,P25685,RSPH16B,Sis1","['1HDJ', '2QLD', '3AGX', '3AGY', '3AGZ', '4WB7', '6BYR', '6WJF', '6WJG', '6Z5N', '7NDX', '8FE2', '8FE5', '8FEC']",14
DNM2,dynamin 2,1785.0,19:10718131-10831903,1,Yes,19p13.2,yes,,T-ALL,,,L,Rec,TSG,"F, N, S, Mis, O",,yes,"Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5","CCDS45969.1,CMT2M,CMTDI1,CMTDIB,DI-CMTB,DYN2,DYNII,ENSG00000079805.16,NM_001005361.2,NP_001005361,P50570",['2YS1'],1
DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,1788.0,2:25227855-25342590,1,Yes,2p23.3,yes,,AML,,,L,Dom,TSG,"Mis, F, N, S",,,,"CCDS33157.1,ENSG00000119772.16,NM_175629.2,NP_783328,Q9Y6K1","['2QRV', '3A1A', '3A1B', '3LLR', '3SVM', '4QBQ', '4QBR', '4QBS', '4U7P', '4U7T', '5YX2', '6BRR', '6F57', '6PA7', '6W89', '6W8B', '6W8D', '6W8J', '8BA5']",19
DROSHA,drosha ribonuclease III,29102.0,5:31400497-31532061,1,Yes,5p13.3,yes,,"Wilms tumour, NSCLC, bladder carcinoma",,,"E, O",,TSG,"A, Mis, N, F",,,,"CCDS47195.1,ENSG00000113360.16,Etohi2,HSA242976,NM_013235.4,NP_037367,Q9NRR4,RN3,RNASE3L,RNASEN","['2KHX', '2NA2', '5B16', '6LXD', '6LXE', '6V5B', '6V5C']",7
EBF1,early B-cell factor 1,1879.0,5:158695920-159099761,1,Yes,5q33.3,yes,,lipoma,,,M,Dom,"TSG, fusion",T,HMGA2,,,"CCDS4343.1,COE1,EBF,ENSG00000164330.16,NM_024007.4,NP_076870,NP_001277289.1,NP_001311037.1,NP_001311036.1,NP_001311040.1,NP_001311035.1,NP_001311032.1,NP_001311030.1,OLF1,Q9UH73","['3LYR', '3MQI']",2
ECT2L,epithelial cell transforming sequence 2 oncogene-like,345930.0,6:138796111-138904070,2,,6q24.1,yes,,ETP ALL,,,L,Rec,,"N, S, Mis",,,,"ARHGEF32,C6orf91,CCDS43508.1,ENSG00000203734.11,FBXO49,LFDH,NM_001077706.2,NP_001071174,Q008S8",,0
